candidate_id,rank,score,reasoning
CAND_0046525,1,1.6660,Senior Machine Learning Engineer with 6.1 yrs exp; 17  skills; response rate 0.88; 49.4 % JD similarity.
CAND_0088025,31,1.1435,Staff Machine Learning Engineer with 8.6 yrs exp; 19  skills; response rate 0.83; 50.9 % JD similarity.
CAND_0027691,32,1.1434,NLP Engineer with 6.5 yrs exp; 17  skills; response rate 0.68; 40.7 % JD similarity.
CAND_0083852,33,1.1408,Data Scientist with 6.0 yrs exp; 19  skills; response rate 0.85; 42.3 % JD similarity.
CAND_0048558,34,1.1327,Data Scientist with 6.7 yrs exp; 9  skills; response rate 0.8; 43.7 % JD similarity.
CAND_0070514,35,1.1295,AI Specialist with 5.5 yrs exp; 15  skills; response rate 0.8; 45.7 % JD similarity.
CAND_0028226,36,1.1250,Software Engineer with 6.1 yrs exp; 9  skills; response rate 0.43; 57.2 % JD similarity.
CAND_0097176,37,1.1228,ML Engineer with 5.9 yrs exp; 11  skills; response rate 0.76; 46.1 % JD similarity.
CAND_0000263,38,1.1180,Software Engineer with 5.4 yrs exp; 12  skills; response rate 0.41; 54.3 % JD similarity.
CAND_0072263,39,1.1175,Senior Software Engineer (ML) with 6.7 yrs exp; 12  skills; response rate 0.55; 45.9 % JD similarity.
CAND_0068932,40,1.1138,ML Engineer with 5.2 yrs exp; 12  skills; response rate 0.82; 47.2 % JD similarity.
CAND_0047907,41,1.1118,AI Research Engineer with 6.6 yrs exp; 16  skills; response rate 0.48; 56.6 % JD similarity.
CAND_0011687,42,1.1093,Senior NLP Engineer with 7.8 yrs exp; 13  skills; response rate 0.89; 49.4 % JD similarity.
CAND_0019572,43,1.1078,Software Engineer with 5.3 yrs exp; 13  skills; response rate 0.81; 54.2 % JD similarity.
CAND_0060257,44,1.1076,AI Specialist with 5.8 yrs exp; 16  skills; response rate 0.57; 45.5 % JD similarity.
CAND_0064888,45,1.1026,ML Engineer with 5.8 yrs exp; 13  skills; response rate 0.92; 44.6 % JD similarity.
CAND_0016163,46,1.1004,Applied ML Engineer with 6.7 yrs exp; 17  skills; response rate 0.72; 45.2 % JD similarity.
CAND_0014574,47,1.0977,Software Engineer with 8.5 yrs exp; 11  skills; response rate 0.7; 53.3 % JD similarity.
CAND_0016881,48,1.0967,Senior Software Engineer with 6.6 yrs exp; 16  skills; response rate 0.7; 48.8 % JD similarity.
CAND_0079387,49,1.0921,AI Engineer with 6.9 yrs exp; 20  skills; response rate 0.81; 48.6 % JD similarity.
CAND_0018701,50,1.0905,Junior ML Engineer with 6.0 yrs exp; 10  skills; response rate 0.71; 44.8 % JD similarity.
CAND_0078002,51,1.0901,Machine Learning Engineer with 6.3 yrs exp; 16  skills; response rate 0.86; 48.5 % JD similarity.
CAND_0022677,52,1.0856,Software Engineer with 7.7 yrs exp; 15  skills; response rate 0.41; 58.0 % JD similarity.
CAND_0015967,53,1.0841,Senior Software Engineer (ML) with 5.4 yrs exp; 17  skills; response rate 0.45; 44.5 % JD similarity.
CAND_0073504,54,1.0824,Junior ML Engineer with 6.6 yrs exp; 16  skills; response rate 0.78; 44.5 % JD similarity.
CAND_0079845,55,1.0804,Backend Engineer with 6.1 yrs exp; 14  skills; response rate 0.46; 44.4 % JD similarity.
CAND_0022870,56,1.0783,AI Specialist with 6.7 yrs exp; 15  skills; response rate 0.44; 48.0 % JD similarity.
CAND_0039383,57,1.0758,Applied ML Engineer with 7.1 yrs exp; 16  skills; response rate 0.61; 44.2 % JD similarity.
CAND_0015578,58,1.0745,AI Engineer with 5.4 yrs exp; 18  skills; response rate 0.65; 44.2 % JD similarity.
CAND_0068910,59,1.0736,Senior Software Engineer with 5.7 yrs exp; 14  skills; response rate 0.81; 45.5 % JD similarity.
CAND_0057563,60,1.0554,NLP Engineer with 6.8 yrs exp; 14  skills; response rate 0.83; 42.7 % JD similarity.
CAND_0065195,61,1.0501,Search Engineer with 5.1 yrs exp; 13  skills; response rate 0.8; 46.7 % JD similarity.
CAND_0000859,62,1.0464,Senior Software Engineer with 5.9 yrs exp; 12  skills; response rate 0.77; 43.0 % JD similarity.
CAND_0027801,63,1.0397,NLP Engineer with 7.4 yrs exp; 15  skills; response rate 0.65; 42.7 % JD similarity.
CAND_0006894,64,1.0354,Software Engineer with 6.6 yrs exp; 10  skills; response rate 0.65; 55.3 % JD similarity.
CAND_0070398,65,1.0332,Machine Learning Engineer with 7.2 yrs exp; 16  skills; response rate 0.6; 50.2 % JD similarity.
CAND_0006567,66,1.0317,Senior AI Engineer with 7.9 yrs exp; 20  skills; response rate 0.79; 36.7 % JD similarity.
CAND_0083879,67,1.0304,Machine Learning Engineer with 7.1 yrs exp; 10  skills; response rate 0.47; 47.7 % JD similarity.
CAND_0002770,68,1.0299,AI Research Engineer with 5.7 yrs exp; 11  skills; response rate 0.59; 50.0 % JD similarity.
CAND_0064326,69,1.0204,Search Engineer with 7.6 yrs exp; 14  skills; response rate 0.94; 49.9 % JD similarity.
CAND_0052682,70,1.0203,NLP Engineer with 6.6 yrs exp; 15  skills; response rate 0.88; 45.4 % JD similarity.
CAND_0005260,71,1.0118,Senior NLP Engineer with 5.2 yrs exp; 18  skills; response rate 0.86; 48.8 % JD similarity.
CAND_0089552,72,1.0102,Machine Learning Engineer with 6.0 yrs exp; 19  skills; response rate 0.49; 45.0 % JD similarity.
CAND_0051466,73,1.0098,AI Research Engineer with 5.3 yrs exp; 15  skills; response rate 0.65; 53.9 % JD similarity.
CAND_0030752,74,1.0050,Software Engineer with 5.6 yrs exp; 17  skills; response rate 0.47; 53.7 % JD similarity.
CAND_0079064,75,0.9893,Senior Data Scientist with 5.2 yrs exp; 14  skills; response rate 0.91; 41.9 % JD similarity.
CAND_0021491,76,0.9889,AI Research Engineer with 6.1 yrs exp; 17  skills; response rate 0.61; 52.8 % JD similarity.
CAND_0076163,77,0.9873,NLP Engineer with 6.9 yrs exp; 17  skills; response rate 0.84; 44.0 % JD similarity.
CAND_0044248,78,0.9826,Junior ML Engineer with 6.9 yrs exp; 12  skills; response rate 0.77; 47.7 % JD similarity.
CAND_0043958,79,0.9791,AI Research Engineer with 6.7 yrs exp; 11  skills; response rate 0.67; 52.3 % JD similarity.
CAND_0001930,80,0.9772,Senior Software Engineer (ML) with 6.9 yrs exp; 15  skills; response rate 0.65; 52.2 % JD similarity.
CAND_0082086,81,0.9761,Senior Software Engineer (ML) with 6.0 yrs exp; 14  skills; response rate 0.85; 47.7 % JD similarity.
CAND_0028527,82,0.9728,AI Specialist with 5.4 yrs exp; 17  skills; response rate 0.9; 48.1 % JD similarity.
CAND_0058405,83,0.9671,Software Engineer with 7.4 yrs exp; 14  skills; response rate 0.76; 39.7 % JD similarity.
CAND_0069905,84,0.9655,Applied ML Engineer with 6.6 yrs exp; 17  skills; response rate 0.78; 46.9 % JD similarity.
CAND_0022852,85,0.9653,AI Research Engineer with 5.4 yrs exp; 15  skills; response rate 0.86; 50.8 % JD similarity.
CAND_0060847,86,0.9595,Software Engineer with 8.6 yrs exp; 12  skills; response rate 0.26; 56.9 % JD similarity.
CAND_0039546,87,0.9573,Senior Software Engineer with 6.9 yrs exp; 17  skills; response rate 0.79; 48.7 % JD similarity.
CAND_0091899,88,0.9508,Senior Software Engineer (ML) with 5.8 yrs exp; 13  skills; response rate 0.51; 50.8 % JD similarity.
CAND_0037566,89,0.9458,Machine Learning Engineer with 6.9 yrs exp; 17  skills; response rate 0.5; 45.9 % JD similarity.
CAND_0093474,90,0.9445,Senior Software Engineer (ML) with 5.3 yrs exp; 17  skills; response rate 0.4; 50.5 % JD similarity.
CAND_0031928,91,0.9402,Software Engineer with 6.0 yrs exp; 14  skills; response rate 0.54; 54.4 % JD similarity.
CAND_0031593,92,0.9401,Search Engineer with 7.8 yrs exp; 16  skills; response rate 0.58; 41.8 % JD similarity.
CAND_0028793,93,0.9396,Search Engineer with 7.2 yrs exp; 15  skills; response rate 0.57; 45.6 % JD similarity.
CAND_0052289,94,0.9383,Senior Software Engineer with 6.9 yrs exp; 13  skills; response rate 0.61; 45.6 % JD similarity.
CAND_0001600,95,0.9382,AI Specialist with 6.2 yrs exp; 16  skills; response rate 0.42; 50.1 % JD similarity.
CAND_0062247,96,0.9364,AI Engineer with 7.3 yrs exp; 17  skills; response rate 0.78; 45.5 % JD similarity.
CAND_0018653,97,0.9348,ML Engineer with 6.5 yrs exp; 13  skills; response rate 0.72; 49.9 % JD similarity.
CAND_0016657,98,0.9345,AI Research Engineer with 5.3 yrs exp; 15  skills; response rate 0.52; 54.9 % JD similarity.
CAND_0083307,99,0.9314,Search Engineer with 7.8 yrs exp; 18  skills; response rate 0.7; 49.8 % JD similarity.
CAND_0074731,100,0.9301,Data Scientist with 6.6 yrs exp; 17  skills; response rate 0.58; 41.4 % JD similarity.
